id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,9.3,0.4,0.34,2.1,0.088,14.0,28.0,0.9994,3.44,0.84,12.2,7.0
1,8.3,0.38,0.33,1.8,0.07,5.0,15.0,0.9982,3.39,0.55,9.9,5.0
2,6.6,0.28,0.3,2.1,0.068,8.0,17.0,0.99552,3.51,0.8,10.7,6.0
3,8.2,0.35,0.36,2.6,0.086,14.0,89.0,0.9991,3.23,0.67,9.5,5.0
4,10.9,0.18,0.49,1.8,0.084,21.0,77.0,0.99658,3.2,0.63,9.5,6.0
5,8.2,0.39,0.33,2.6,0.072,12.0,28.0,0.9988,3.44,0.51,9.7,5.0
6,9.9,0.57,0.24,2.3,0.075,15.0,45.0,0.9974,3.21,0.47,9.8,5.0
7,6.4,0.32,0.27,2.2,0.071,11.0,65.0,0.9964,3.2,0.47,9.8,5.0
8,7.1,0.87,0.0,2.0,0.092,9.0,22.0,0.9987,3.54,0.51,11.9,7.0
9,6.3,0.63,0.03,2.0,0.077,16.0,44.0,0.9972,3.31,0.73,12.0,6.0
10,7.6,0.42,0.33,2.6,0.038,19.0,28.0,0.99584,3.26,0.66,10.8,8.0
11,7.8,0.62,0.07,1.9,0.071,13.0,28.0,0.9988,3.49,0.58,9.6,7.0
12,7.3,0.57,0.05,2.1,0.08,6.0,15.0,0.9977,3.33,0.56,10.0,6.0
13,7.1,0.52,0.04,1.8,0.071,10.0,24.0,0.9979,3.36,0.67,9.3,5.0
14,9.9,0.38,0.46,2.4,0.079,27.0,52.0,0.9976,3.09,0.59,9.4,6.0
15,7.8,0.32,0.24,2.3,0.08,6.0,13.0,0.99534,3.16,0.65,10.4,5.0
16,7.6,0.34,0.14,1.4,0.071,7.0,32.0,0.9986,3.47,0.62,11.0,7.0
17,8.4,0.47,0.25,2.0,0.086,10.0,21.0,0.99702,3.52,0.43,11.4,6.0
18,7.2,0.38,0.36,2.7,0.078,4.0,8.0,0.99498,3.33,0.72,10.5,6.0
19,8.1,0.28,0.54,2.9,0.078,6.0,16.0,0.99588,3.34,0.81,12.2,7.0
20,7.7,0.6,0.0,1.7,0.0819999999999999,8.0,17.0,0.9963,3.17,0.57,9.5,6.0
21,7.9,0.27,0.49,2.5,0.076,12.0,66.0,0.9972,3.35,0.57,9.9,6.0
22,8.3,0.44,0.32,2.6,0.078,29.0,52.0,0.9973,3.22,0.58,9.5,5.0
23,9.3,0.31,0.49,2.4,0.078,16.0,88.0,0.9971,3.28,0.68,9.4,5.0
24,9.3,0.43,0.24,2.2,0.0819999999999999,24.0,43.0,0.99708,3.31,0.82,12.8,7.0
25,9.4,0.52,0.3,3.0,0.092,17.0,26.0,0.9966,3.2,0.62,10.4,6.0
26,9.3,0.31,0.45,2.1,0.074,7.0,42.0,0.99743,3.39,0.82,9.3,6.0
27,6.4,0.67,0.05,2.3,0.074,7.0,15.0,0.9956,3.47,0.54,11.3,6.0
28,7.8,0.33,0.15,2.1,0.078,6.0,18.0,0.9964,3.4,0.53,9.5,5.0
29,7.8,0.56,0.02,3.0,0.09,20.0,147.0,0.9967,3.26,0.62,9.4,5.0
30,6.4,0.33,0.28,1.9,0.0819999999999999,12.0,44.0,0.9964,3.48,0.69,9.5,5.0
31,9.9,0.715,0.34,2.1,0.078,6.0,19.0,0.9948,3.15,0.56,9.4,5.0
32,7.1,0.68,0.01,2.0,0.077,6.0,8.0,0.99745,3.44,0.53,9.7,5.0
33,8.3,0.31,0.33,1.7,0.039,33.0,134.0,0.9978,3.09,0.56,9.4,5.0
34,7.8,0.765,0.04,2.0,0.091,7.0,16.0,0.99593,3.32,0.61,10.4,6.0
35,7.0,0.78,0.0,1.4,0.091,10.0,29.0,0.9964,3.26,0.58,9.4,7.0
